date,traffic_in
12/21/15,10299
12/22/15,9962
12/23/15,11458
12/24/15,12040
12/25/15,13109
12/26/15,11977
12/27/15,11316
12/28/15,8918
12/29/15,8320
12/30/15,8948
12/31/15,10027
