year,month,traffic_in
2015,1,3384.3225806451615
2015,2,7256.928571428572
2015,3,7156.258064516129
2015,4,6947.966666666666
2015,5,7238.1612903225805
2015,6,7367.766666666666
2015,7,7023.354838709677
2015,8,6018.741935483871
2015,9,5205.0
2015,10,5604.1612903225805
2015,11,6525.533333333334
2015,12,9863.09677419355
